City,District,Year,Month,141_area,142_area,143_area,Reported_Wheat/Barley,141_sample_count,142_sample_count,143_sample_count,Total Sample,141_rate,142_rate,143_rate
Adana,Aladag,2022,1,250.9,4107.09,1455.07,2836.05,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Ceyhan,2022,1,204.67,4284.35,17610.02,27172.71,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Cukurova,2022,1,677.72,4063.56,1548.84,4419.45,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Feke,2022,1,0,354.35,361.94,1531.13,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Imamoglu,2022,1,415.32,5791.61,8633.27,13459.31,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Karaisali,2022,1,654.64,9783.81,7982.48,12569.57,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Karatas,2022,1,636.09,7121.84,7418.5,11321.72,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Kozan,2022,1,246.07,9872.54,12076.29,18255.3,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Pozanti,2022,1,109.44,2507.62,37.97,1486.05,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Saimbeyli,2022,1,0,207.66,325.54,1912.21,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Saricam,2022,1,3008.44,15653.19,11637.5,21760.37,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Seyhan,2022,1,730.8,4288.24,2701.08,3770.4,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Tufanbeyli,2022,1,0,12.5,77.58,1227.1,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Yumurtalik,2022,1,1316.91,4134.47,4387.11,7076.05,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Yuregir,2022,1,1287.83,8402.12,7814.76,9501.91,1,33,101,135,0.007407407,0.244444444,0.748148148
Adana,Aladag,2022,2,0,2539.94,502.25,2836.05,0,20,115,135,0,0.148148148,0.851851852
